Name,SMILES,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
Ivabradine,N1(C(Cc2c(CC1)cc(c(c2)OC)OC)=O)CCC[N@@](C)C[C@@H]1c2cc(c(cc2C1)OC)OC,1.66,10.27,0.28,2.69,,468.59,7,0,60.5,10,cationic,3,1.8
IVL745,COc1ccc(CN(CCC(=O)O)C(=O)CNC(=O)Cc2ccc(NC(=O)Nc3ccccc3C)c(OC)c2)cc1OC,0.25,11,,0.38,1.6,592.64,12,4,155.5,14,anionic,2.7,-0.014
Ixabepilone,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](NC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)\C(=C\c3csc(C)n3)\C,11,10,0.2,18,17,506.7,7,3,112,2,neutral,3.9,3.9
Ixazomib,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,3.61,0.5,0.01,119,97,361.03,6,4,98.7,7,neutral,2.2,2.2
Kahalide F,"N1(C([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC(=O)CCCC(C)C)C(C)C)=O)[C@H](O)C)=O)C(C)C)=O)C(C)C)=O)[C@@H](C(N[C@H](C(N[C@@H](C(N[C@@H]2C(N[C@@H](C(N[C@H](C(N[C@@H](Cc3ccccc3)C(N\C(C(N[C@H](C(O[C@@H]2C)=O)C(C)C)=O)=C/C)=O)=O)C(C)C)=O)[C@H](CC)C)=O)=O)[C@H](CC)C)=O)CCCN)=O)CCC1
",0.11,3.9,,0.48,0.57,1477.87,30,14,442.1,33,cationic,5.8,3.4
Kanamycin,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0.26,1.4,0.99,3.1,2.1,484.5,15,11,282.6,6,cationic,-7.9,-9
Ketamine,CNC1(CCCCC1=O)c2ccccc2Cl,2.9,19,0.47,2.5,2.8,237.73,2,1,29.1,2,cationic,2.6,2.2
Ketanserin,Fc1ccc(cc1)C(=O)C2CCN(CCN3C(=O)Nc4ccccc4C3=O)CC2,3.9,6.7,0.055,9.7,12,395.43,6,1,69.7,5,cationic,3.5,2.8
Ketobemidone,CCC(=O)C1(CCN(C)CC1)c2cccc(O)c2,0.48,9.2,,0.87,2.3,247.33,3,1,40.5,3,cationic,1.5,0.0027
Ketoprofen,CC(C(=O)O)c1cccc(c1)C(=O)c2ccccc2,0.13,1.6,0.008,1.4,2.1,254.28,3,1,54.4,4,anionic,2.9,-0.072
Ketorolac,OC(=O)C1CCn2c1ccc2C(=O)c3ccccc3,0.11,0.35,0.0068,5.2,5.1,255.27,4,1,59.3,3,anionic,2.5,-0.76
KNI-272,c12c(cccc1cncc2)OCC(N[C@H](C(N[C@H]([C@@H](C(N1[C@@H](CSC1)C(NC(C)(C)C)=O)=O)O)Cc1ccccc1)=O)CSC)=O,0.11,10.5,,0.17,0.44,667.84,11,4,150,13,neutral,2,1.9
KRN-5500,CCCCCCCCC\C=C\C=C\C(=O)NCC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](Nc2[nH]cnc3ncnc23)O[C@H]1[C@@H](O)CO,0.17,2.7,,1.1,1.3,589.68,14,8,214.8,17,neutral,1.3,1.2
KRN8602,c1c(c2c(cc1)C(=O)c1c(c(O)c3c(c1O)[C@@H](O)[C@@](O)(CC)C[C@@H]3O[C@@H]1C[C@@H]([C@@H]([C@@H](O1)C)O)N1CCOCC1)C2=O)O,20.9,42.8,0.09,8,10.7,585.6,12,6,186.4,4,neutral,1.4,1.2
KW-2170,NCCCNc1ccc2c(CNCCO)nn3c4c(O)ccc(O)c4C(=O)c1c23,12,18,,11,32,397.43,9,6,145.7,8,cationic,-0.21,-3.6
KW-2478,CCc1c(cc(c(c1CC(=O)N(CCOC)CCOC)C(=O)c2ccc(c(c2)OC)OCCN3CCOCC3)O)O,1.32,6.87,,3.21,5.94,574.66,11,2,127.2,16,neutral,1.9,1.6
L-5-hydroxytryptophan,c1cc2c(cc1O)c(c[nH]2)C[C@@H](C(=O)O)N,0.8,1.72,,7.75,6.14,220.22,5,4,99.3,3,zwitterionic,0.033,-1.6
L-648051,S(c1ccc(C(=O)CCC(=O)O)cc1)(=O)(=O)CCCOc1c(c(O)c(cc1)C(=O)C)CCC,,17.44,,,0.04,476.54,8,2,135,13,anionic,2.7,0.13
L-692429,[H]N(C(CC(C)(C)N([H])[H])=O)[C@@H]1CCc2ccccc2N(Cc2ccc(cc2)c2ccccc2c2nnnn2[H])C1=O,0.2,3.05,0.06,1.1,3.8,509.6,9,3,129.9,8,zwitterionic,4.1,1.8
"L-778,123",c1cc(cc(c1)Cl)N2CCN(CC2=O)Cc3cncn3Cc4ccc(cc4)C#N,0.8,3.2,,4.2,2.6,405.88,6,0,65.2,6,neutral,2.6,2.6
Labetalol,CC(CCc1ccccc1)NCC(O)c2ccc(O)c(c2)C(=O)N,4.8,23,0.5,3.5,4.4,328.41,5,4,95.6,8,cationic,1.8,0.97
Lacosamide,"C(=O)([C@@H](COC)NC(=O)C)NCc1ccccc1
",0.58,0.57,0.85,17.2,12.3,250.29,5,2,67.4,6,neutral,-0.2,-0.2
Ladirubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3O)C(=O)c5ccccc5C4=O)O)(C(=O)C)O)N6CC6)OS(=O)(=O)C,2.95,23.54,0.006,2.09,7.33,601.62,12,3,176.7,6,neutral,1.5,1.4
Lamifiban,NC(=N)c1ccc(cc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N3CCC(CC3)OCC(=O)O,0.29,1.9,0.94,2.5,2.1,468.5,10,5,166,9,zwitterionic,0.93,-0.3
Lamivudine,NC1=NC(=O)N(C=C1)[C@@H]2CS[C@H](CO)O2,1.3,4.8,0.94,4.4,9.1,229.26,6,2,88.1,2,neutral,-1,-1
Lanicemine,c1ccc(cc1)C(Cc2ccccn2)N,1.62,1.8,,15.06,10.4,198.26,2,1,38.9,3,cationic,1.6,0.31
Laniquidar,COC(c1cnc2C(=C3CCN(CC3)CCc3ccc(cc3)OCc3ccc4ccccc4n3)c3ccccc3CCn12)=O,6.03,14.14,0.001,7.1,10.6,584.71,7,0,69.5,8,cationic,7.4,6.8
Lanreotide,c1(c2c(cccc2)[nH]c1)C[C@@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC([C@@H](CSSC[C@@H](NC([C@@H](NC([C@@H](NC1=O)CCCCN)=O)C(C)C)=O)C(N[C@@H]([C@@H](C)O)C(=O)N)=O)NC(=O)[C@@H](N)Cc1ccc2c(c1)cccc2)=O,0.2,5.7,,0.57,1.03,1096.32,21,13,355.1,17,cationic,1.3,-2.3
Lansoprazole,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c2nc3ccccc3[nH]2,0.28,4.4,0.021,1.1,1,369.36,5,1,67.9,5,neutral,2.5,2.4
Laromustine,CS(=O)(=O)[N@@](N(S(=O)(=O)C)C(=O)NC)CCCl,0.88,23.1,,0.63,0.49,307.78,8,1,103.9,5,neutral,-1.4,-1.4
Laropiprant,CS(=O)(=O)c1cc(cc2c1n(c3c2CC[C@@H]3CC(=O)O)Cc4ccc(cc4)Cl)F,1,1.21,,13.7,11.8,435.9,5,1,76.4,5,anionic,3.5,1.2
Larotaxel,O=C1[C@@]23[C@@H]([C@@]4(OC(=O)C)[C@@H](C[C@@H]2C3)OC4)[C@H](OC(=O)c2ccccc2)[C@]2(C(C(=C(C)[C@H](C2)OC(=O)[C@@H]([C@@H](NC(=O)OC(C)(C)C)c2ccccc2)O)C1OC(=O)C)(C)C)O,17,10.8,,26.1,33.9,831.9,15,3,210.3,14,neutral,3.3,3.3
Latanoprost,C([C@@H]1[C@H]([C@H](O)C[C@@H]1O)CC[C@H](CCc1ccccc1)O)\C=C\CCCC(OC(C)C)=O,,6.7,0.1,,0.28,432.59,5,3,87,14,neutral,5.2,5.2
Lefamulin,C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@]1(C)[C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]3C)OC(=O)CS[C@@H]4CC[C@@H](N)C[C@H]4O,1.32,3.96,0.17,5.53,6.4,507.73,6,3,109.8,6,cationic,3.4,0.75
Lenapenem,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)[C@@H](CCNC)O)C(=O)O)[C@@H](C)O,0.22,2.02,,2.04,1.48,399.5,8,5,122.1,8,zwitterionic,-1.2,-3.6
Lesinurad,c1ccc2c(c1)c(ccc2n3c(nnc3Br)SCC(=O)O)C4CC4,0.29,1.43,0.02,3.33,5,404.28,5,1,68,5,anionic,2.4,-0.86
Letrozole,N#Cc1ccc(cc1)C(c2ccc(cc2)C#N)n3cncn3,1.9,0.57,0.41,59,45,285.3,5,0,78.3,5,neutral,2.1,2.1
Leuprolide,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](Cc5c[nH]cn5)NC(=O)[C@@H]6CCC(=O)N6,0.38,2,0.54,3.1,2.9,1209.4,28,16,429,33,cationic,-0.092,-4.1
Levetiracetam,N1([C@H](C(=O)N)CC)C(=O)CCC1,0.6,0.9,0.9,11.15,8.23,170.21,4,1,63.4,3,neutral,-0.48,-0.48
Levobupivacaine,C(Nc1c(cccc1C)C)([C@H]1[N@@](CCCC)CCCC1)=O,0.49,8.7,0.03,0.94,0.79,288.43,3,1,32.3,5,cationic,4,3.4
Levocabastine,[H]OC([C@@]1(CCN(C[C@H]1C)C1CCC(CC1)(C#N)c1ccc(cc1)F)c1ccccc1)=O,1.17,0.43,0.453,45.3,33,420.52,4,1,64.3,6,zwitterionic,4.3,2
Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,1.7,23,0.76,1.2,1.3,197.19,5,4,103.8,3,zwitterionic,-0.25,-1.9
Levofloxacin,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,1.2,1.9,0.75,11,8.8,361.37,7,1,73.3,2,zwitterionic,1.9,-0.4
Levoleucovorin,C(=O)([C@@H](NC(=O)c1ccc(cc1)NC[C@@H]1N(c2c(=O)nc([nH]c2NC1)N)C=O)CCC(=O)O)O,0.27,4.1,,1.1,1.1,473.44,14,7,219.8,9,anionic,-2,-7.7
Levomepromazine,COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1,12,9.9,,21,30,328.47,3,0,15.7,5,cationic,4.9,3.3
Levonorgestrel,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,1.5,1.8,0.025,14,9.4,312.45,2,1,37.3,2,neutral,3.5,3.5
Levoprotiline,c1ccc2c(C3(CCC2c2ccccc32)C[C@H](CNC)O)c1,18.8,14.6,,21.4,18.8,293.4,2,2,32.3,4,cationic,3,0.98
Levorphanol,c12[C@@]34[C@H]([C@@H](Cc1ccc(c2)O)[N@](C)CC3)CCCC4,11.5,15.7,0.6,12.2,13.5,257.37,2,1,23.5,0,cationic,3,0.98
Levosimendan,C[C@@H]1CC(=O)NN=C1c2ccc(NN=C(C#N)C#N)cc2,0.24,3.8,0.02,1.1,1.1,280.28,7,2,113.4,5,anionic,2.2,0.87
Libenzapril,C([C@@H](N[C@H]1CCc2c(cccc2)N(CC(O)=O)C1=O)CCCCN)(O)=O,1.98,1.23,,29.3,,363.41,8,4,133,9,anionic,0.21,-2.4
Licarbazepine,c12CC(c3c(N(c2cccc1)C(=O)N)cccc3)O,0.72,0.88,0.7,13.6,9.8,254.28,4,2,66.6,0,neutral,1.9,1.9
Lidocaine,CCN(CC)CC(=O)Nc1c(C)cccc1C,1.8,16,0.33,1.9,1.6,234.34,3,1,32.3,5,cationic,2.7,2
Linagliptin,CC#CCN1C(=NC2=C1C(=O)N(CC1=NC3=C(C=CC=C3)C(C)=N1)C(=O)N2C)N1CCC[C@@H](N)C1,16,1.9,,140,129,472.54,10,1,113.5,5,cationic,3.1,1.5
Lincomycin,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O,1,2.1,,7.5,5.6,406.54,8,5,122.5,7,cationic,0.001,-0.75
Linezolid,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2,0.58,1.8,0.69,5.4,4.5,337.35,7,1,71.1,4,neutral,1.1,1.1
"Lipoic acid, R(+)-?",C1CSS[C@@H]1CCCCC(=O)O,0.1,11.5,,0.14,0.21,206.33,2,1,37.3,5,anionic,2.4,0.038
"Lipoic acid, S(-)-?",C1CSS[C@H]1CCCCC(=O)O,0.11,13.4,,0.13,0.21,206.33,2,1,37.3,5,anionic,2.4,0.038
Liraglutide,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCCC[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)N)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc4ccc(cc4)O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc5ccccc5)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](Cc6cnc[nH]6)N)C(=O)O,,0.01,0.01,,8.1,3751.2,94,54,1513.8,132,anionic,-5.7,-5.7
Lisdexamfetamine,"C[C@@H](Cc1ccccc1)NC(=O)[C@H](CCCCN)N
",0.6,17,,0.6,1.2,263.38,4,3,81.1,8,cationic,0.95,-2.1
Lisinopril,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O,0.89,1.2,1,12,42,405.49,8,4,133,12,anionic,0.66,-3
Lisuride,c12c3C=4[C@H]([N@@](C[C@H](C4)NC(N(CC)CC)=O)C)Cc1c[nH]c2ccc3,1.73,13.3,,2.17,1.8,338.45,5,2,51.4,3,neutral,2.9,2.8
Lomefloxacin,N1[C@@H](C)CN(CC1)c1c(F)cc2c(c(cn(c2c1F)CC)C(O)=O)=O,2.04,3.98,,7.89,8.1,351.35,6,2,74.6,3,zwitterionic,2.4,-0.34
Lomeguatrib,c1c(csc1COc2c3c(nc[nH]3)nc(n2)N)Br,,21.55,,,2.92,326.17,6,2,89.7,3,neutral,2.2,2.2
Lomitapide,c1cccc2c1C(c1c2cccc1)(CCCCN1CCC(CC1)NC(c1c(cccc1)c1ccc(cc1)C(F)(F)F)=O)C(NCC(F)(F)F)=O,16.3,8.7,0.002,31.2,39.7,693.72,5,2,61.4,10,cationic,8.7,7.5
Lorazepam,OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O,1.3,1,0.09,22,17,321.16,4,2,61.7,1,neutral,2.9,2.9
Lorcainide,CC(C)N1CCC(CC1)N(C(=O)Cc2ccccc2)c3ccc(Cl)cc3,6.6,16,0.15,6.9,6.5,370.92,3,0,23.5,5,cationic,4.9,3
Lormetazepam,CN1C(=O)C(O)N=C(c2ccccc2Cl)c3cc(Cl)ccc13,1.6,4,0.12,6.7,4.9,335.18,4,1,52.9,1,neutral,2.8,2.8
Losartan,CCCCc1nc(Cl)c(CO)n1Cc2ccc(cc2)c3ccccc3c4nnn[nH]4,0.37,8.2,0.01,0.75,1.8,422.91,7,2,92.5,8,anionic,4.2,0.7
Losmapimod,CC1=C(C=C(C=C1F)C(=O)NC1CC1)C1=CC=C(C=N1)C(=O)NCC(C)(C)C,1.67,3.77,,7.38,6.95,383.46,5,2,71.1,5,neutral,4.2,4.2
Lovastatin (acid),CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@@H]12,0.87,7.2,0.043,1.3,1.4,422.55,6,3,104.1,11,anionic,4.2,1.4
Loxiglumide,CCCCCN(CCCOC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,0.24,1,,4,5.2,461.38,7,2,95.9,14,anionic,4.2,1
Lubeluzole,[H]O[C@@H](CN1CCC(CC1)N(C)c1nc2ccccc2s1)COc1ccc(c(c1)F)F,2.6,1.7,0.003,26,21.6,433.51,5,1,48.8,8,cationic,4.9,4.4
Lurbinectedin,Cc1cc2c(c(c1OC)O)[C@@H]3[C@@H]4[C@H]5c6c(c7c(c(c6OC(=O)C)C)OCO7)[C@@H](N4[C@H]([C@H](C2)N3C)O)COC(=O)[C@@]8(CS5)c9c(c1cc(ccc1[nH]9)OC)CCN8,7.3,2.76,,44.03,50.68,784.87,14,4,164.3,4,cationic,2.4,1.8
Lurtotecan,CC[C@@]1(c2cc-3n(c(=O)c2COC1=O)Cc4c3nc5cc6c(cc5c4CN7CCN(CC7)C)OCCO6)O,4.77,25.07,,3.5,3.54,518.56,10,1,106.4,3,cationic,1,-0.084
LY2090314,C1(C2C3C(N(C(C=3C(N=C(N3C=CC4)C=4)=C3)=O)[H])=O)[C@@H](N(C=2)C2)[C@@H](C=C(C=1)F)CN(C2)C(=O)N(CCCC1)C1,1.2,10.3,0.02,1.9,2.7,514.55,9,1,90.3,2,neutral,3.5,3.5
LY2140023,S1(=O)(=O)C[C@@]([C@H]2[C@@H]1[C@@H]2C(=O)O)(NC(=O)[C@H](CCSC)N)C(=O)O,0.44,9.73,,0.75,0.84,366.41,9,4,163.9,7,anionic,-3,-7.6
LY404039,S1(=O)(=O)[C@@H]2[C@H]([C@](C1)(N)C(=O)O)[C@H]2C(=O)O,0.21,2.4,,1.44,1.23,235.21,7,3,134.8,2,anionic,-3,-8.1
Mannitol,O[C@@H]([C@@H]([C@@H](CO)O)O)[C@@H](CO)O,0.24,1.2,,3.5,4.7,182.17,6,6,121.4,5,neutral,-3.6,-3.6
Maprotiline,CNCCCC12CCC(c3ccccc13)c4ccccc24,45,14,0.11,54,51,277.4,1,1,12,4,cationic,4.1,1.7
Maraviroc,[H]N(C(C1CCC(CC1)(F)F)=O)[C@H](CCN1[C@H]2CC[C@@H]1CC(C2)n1c(C)nnc1C(C)C)c1ccccc1,2.3,9.4,0.25,4.2,12.8,513.67,6,1,63,8,cationic,4.5,3.1
Maxipost,COc1ccc(Cl)cc1[C@]2(F)C(=O)Nc3cc(ccc23)C(F)(F)F,10,15,0.0038,11,37,359.7,3,1,38.3,2,anionic,4.1,2.5
Mazapertine,CC(C)Oc1ccccc1N1CCN(CC1)Cc1cccc(c1)C(N1CCCCC1)=O,1.54,6.17,0.011,4.2,4.6,421.58,5,0,36,6,neutral,4.2,4
MDAM,C=C(C[C@@H](C(=O)O)NC(=O)C1=CC=C(C=C1)CCC2=CN=C3C(=N2)C(=NC(=N3)N)N)C(=O)O,0.7,3.08,,3.78,8.2,451.44,12,5,207.3,9,anionic,0.16,-6
ME-344,Cc1c(ccc2c1OC[C@H]([C@H]2c3ccc(cc3)O)c4ccc(cc4)O)O,1.2,8.42,,2.38,5.3,348.39,4,3,69.9,2,neutral,4.2,4.2
Mebendazole,COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3ccccc3,1.2,15,0.086,1.3,1.1,295.29,6,2,84.1,4,neutral,3,-0.42
Medifoxamine,C(Oc1ccccc1)(Oc1ccccc1)CN(C)C,2.8,13.7,,3.4,4.4,257.33,3,0,21.7,6,neutral,3.1,2.8
Medroxalol,CC(CCc1ccc2OCOc2c1)NCC(O)c3ccc(O)c(c3)C(=O)N,7.9,16,,8.2,11,372.41,7,4,114,8,cationic,1.7,0.84
Melagatran,NC(=N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C3CCCCC3)cc1,0.23,1.9,0.93,2,1.6,429.51,9,5,148.6,9,cationic,-0.76,-2.6
Melatonin,c12c([nH]cc1CCNC(C)=O)ccc(c2)OC,1.1,16.5,0.39,1.1,1.1,232.28,4,2,54.1,4,neutral,1.4,1.4
Meloxicam,CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3ncc(C)s3,0.15,0.12,0.003,21,18,351.4,7,2,99.6,2,anionic,2.6,-0.7
Melperone,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,14,46,,5,3.9,263.35,2,0,20.3,5,cationic,3.7,1.7
Melphalan,N[C@@H](Cc1ccc(cc1)N(CCCl)CCCl)C(=O)O,0.48,7,0.14,1.1,1,305.2,4,2,66.6,8,zwitterionic,2,0.36
MEN-10755 ,C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]2[C@@H](O)C[C@H](O[C@H]3C[C@@](O)(Cc4c(O)c5C(=O)c6ccccc6C(=O)c5c(O)c34)C(=O)CO)O[C@H]2C,2.4,2.5,,17,21,643.64,14,7,235.5,6,cationic,0.54,-2.2
Menogaril,c12c3c([C@@]4(O[C@@H](O3)[C@@H](O)[C@@H]([C@@H]4O)N(C)C)C)cc(c1C(c1c(c3[C@@H](C[C@@](Cc3cc1C2=O)(C)O)OC)O)=O)O,9.14,11.61,,13.13,13.22,541.55,11,5,166.2,2,zwitterionic,1.4,-1.2
Meperidine,CCOC(=O)C1(CCN(C)CC1)c2ccccc2,2.3,4.9,0.42,6.4,7.9,247.33,3,0,29.5,4,cationic,3,1.8
Mepindolol,Cc1cc2c([nH]1)cccc2OCC(CNC(C)C)O,2.17,5.83,0.51,6.21,4.61,262.35,4,3,57.3,6,cationic,2.1,0.37
Mepivacaine,CN1CCCCC1C(=O)Nc2c(C)cccc2C,0.95,6.8,0.3,2.5,2,246.35,3,1,32.3,2,cationic,2.5,2
Meprobamate,CCCC(C)(COC(=O)N)COC(=O)N,0.7,0.6,1,19,14,218.25,6,2,104.6,8,neutral,0.91,0.91
Meptazinol,CCC1(CCCCN(C)C1)c2cccc(O)c2,3.3,28,0.73,2,1.7,233.35,2,1,23.5,2,cationic,3.1,1.5
"Mercaptopurine, 6-",S=C1NC=Nc2[nH]cnc12,1,15,0.85,1.1,1,152.18,4,2,53.1,0,neutral,-1.8,-2
Meropenem,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CN[C@@H](C3)C(=O)N(C)C,0.3,3.9,0.87,1.3,1,383.46,8,3,110.2,5,zwitterionic,-1,-3.5
Mesna,C(S(=O)(=O)O)CS,0.65,20.5,,0.52,0.36,142.2,3,1,54.4,2,anionic,-0.71,-4.2
Metadoxine,Cc1c(c(c(cn1)CO)CO)O.C1CC(=O)N[C@@H]1C(=O),0.66,7.9,,1.38,0.98,282.29,7,4,119.8,3,neutral,-0.56,-0.57
Metaproterenol,CC(C)NCC(c1cc(cc(c1)O)O)O,6.03,14.07,0.9,7.14,6.41,211.26,4,4,72.7,4,cationic,0.56,-0.66
Metazosin,[H]N([H])c1c2cc(c(cc2nc(n1)N1CCN(CC1)C([C@H](C)OC)=O)OC)OC,0.44,0.53,,13.7,,375.42,9,1,103,6,neutral,1.1,0.99
Metergoline,c12c3[C@@H]4[C@H]([N@@](C[C@@H](C4)CNC(OCc4ccccc4)=O)C)Cc1cn(c2ccc3)C,0.57,9.6,,1,0.93,403.52,5,1,46.5,5,cationic,3.9,3.4
Metformin,CN(C)C(=N)NC(=N)N,0.64,7.4,1,1.4,1.7,129.16,5,4,89,3,cationic,-2,-5.5
Methadone,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,4.4,1.7,0.21,43,31,309.45,2,0,20.3,7,cationic,3.7,2.5
Methamphetamine,CN[C@@H](C)Cc1ccccc1,4.3,4.4,0.85,16,12,149.23,1,1,12,3,cationic,2.1,-0.2
Methicillin,COc1cccc(OC)c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O,0.32,6.6,0.43,0.8,0.64,380.42,8,2,105.2,5,anionic,1.7,-1.6
Methimazole,CN1C=CNC1=S,0.86,3.7,,3.8,2.4,114.17,2,1,15.3,0,neutral,-0.12,-0.12
Methohexital,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O,1.1,12,0.27,1.5,1.6,262.3,5,1,66.5,5,neutral,1.8,1.7
Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0.43,2.1,0.37,3.4,3.9,454.44,13,5,210.5,9,anionic,-0.25,-6.4
"Methoxypsoralen,8-",COc1c2c(ccc(=O)o2)cc3c1occ3,0.61,12,0.09,0.88,,216.19,4,0,53.2,1,neutral,2.1,2.1
Methyldopa,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,0.69,3.5,0.85,3.3,5.9,211.21,5,4,103.8,3,zwitterionic,0.66,-2.1
Methylergometrine,c12c3C=4[C@H]([N@@](C[C@@H](C4)C(N[C@@H](CC)CO)=O)C)Cc1c[nH]c2ccc3,0.96,7.18,,2.25,1.85,339.43,5,3,68.4,4,neutral,1.7,1.6
Methylnaltrexone,C[N+]1(CC2CC2)CC[C@]34[C@H]5Oc6c(O)ccc(C[C@@H]1[C@]3(O)CCC5=O)c46,2.6,22,0.87,2,2.5,356.44,5,2,66.8,2,neutral,-2.7,-1.4
"Methylnortestosterone, 7?-, 19-",C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13,0.8,20,,0.67,0.65,288.42,2,1,37.3,0,neutral,3.5,3.5
Methylphenidate,COC(=O)C(C1CCCCN1)c2ccccc2,2.2,9.42,0.85,4.5,4.8,233.31,3,1,38.3,4,cationic,2.1,0.84
Methylprednisolone,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14,1.2,6.1,0.23,3.5,2.3,374.47,5,3,94.8,2,neutral,2,2
"Methylthiomethylpaclitaxel, 7-",CSCO[C@H]1C[C@H]2OC[C@@]2(OC(=O)C)[C@H]3[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C([C@@H](OC(=O)C)C(=O)[C@]13C)C5(C)C)C,11,6.4,,29,32,914.02,15,3,210.3,17,neutral,4.1,4.1
Metoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,3.2,5.7,0.6,9.4,7.2,299.8,5,2,67.6,7,cationic,1.9,0.37
