CHEMISTRY,NAME,human_CL_mL_min_kg,rat_CL_mL_min_kg,dog_CL_mL_min_kg,monkey_CL_mL_min_kg,human_VDss_L_kg,rat_VDss_L_kg,dog_VDss_L_kg,monkey_VDss_L_kg,human_fup,rat_fup,dog_fup,monkey_fup,smiles_r,InChICode_standardised,molecular_weight_smiles_r
[C@@H]12N(C)[C@@H](CC1)C[C@@H]([C@@H]2C(=O)OC)OC(=O)c3ccccc3,Cocaine,32.0,253.0,48.7,,2.0,16.4,2.6,,0.12,0.78,0.7598,,COC(=O)C1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1[NH+]2C,"InChI=1S/C17H21NO4/c1-18-12-8-9-13(18)15(17(20)21-2)14(10-12)22-16(19)11-6-4-3-5-7-11/h3-7,12-15H,8-10H2,1-2H3/p+1/t12-,13+,14-,15?/m0/s1",304.15433460409
[C@@]123[C@@H]4[C@@H](O)C=C[C@H]2[C@H](N(C)CC3)Cc5c1c(O4)c(OC)cc5,Codeine,15.0,103.3,,,3.5,5.1,,,0.7,0.92,,,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)[NH+](C)CC[C@@]341,"InChI=1S/C18H21NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3-6,11-13,17,20H,7-9H2,1-2H3/p+1/t11-,12+,13-,17-,18-/m0/s1",300.15941998409
c1cc(OC)c(=O)cc([C@H](CC2)NC(=O)C)c1c(c23)c(OC)c(OC)c(c3)OC,Colchicine,2.1,34.3,,,6.1,31.4,,,0.61,0.72,,,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,"InChI=1S/C22H25NO6/c1-12(24)23-16-8-6-13-10-19(27-3)21(28-4)22(29-5)20(13)14-7-9-18(26-2)17(25)11-15(14)16/h7,9-11,16H,6,8H2,1-5H3,(H,23,24)/t16-/m0/s1",399.16818752
ClCCN(CCCl)P1(=O)OCCCN1,Cyclophosphamide,1.1,11.1,20.0,,0.73,0.67,0.7,,0.87,,,,O=P1([NH+](CCCl)CCCl)[NH2+]CCCO1,"InChI=1S/C7H15Cl2N2O2P/c8-2-5-11(6-3-9)14(12)10-4-1-7-13-14/h1-7H2,(H,10,12)/p+2",262.03937261418
O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1n2ccc(N)nc2=O,Cytarabine,41.67,,11.3,,0.67,,0.86,,,,,,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,"InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7+,8-/m1/s1",243.085520516
N[C@@H](C)Cc1ccccc1,d-Amphetamine,9.7,90.0,7.1,,6.1,6.6,2.7,,0.8,0.59,0.73,,C[C@H]([NH3+])Cc1ccccc1,"InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3/p+1/t8-/m0/s1",136.11207586809
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,Dapsone,0.48,5.2,,,0.83,1.6,,,0.25,,,,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,"InChI=1S/C12H12N2O2S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8H,13-14H2",248.061948624
c1ccccc1C(C(=O)N)(c2ccccc2)[C@@H]3CCN(C3)CCc(cc4)cc(c45)CCO5,Darifecin,12.0,59.0,39.0,,2.6,7.0,6.8,,0.02,0.03,0.02,,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CC[NH+](CCc2ccc3c(c2)CCO3)C1,"InChI=1S/C28H30N2O2/c29-27(31)28(23-7-3-1-4-8-23,24-9-5-2-6-10-24)25-14-17-30(20-25)16-13-21-11-12-26-22(19-21)15-18-32-26/h1-12,19,25H,13-18,20H2,(H2,29,31)/p+1/t25-/m1/s1",427.23800465209
OC[C@H]1O[C@H](C[C@@H]1O)n2c(=O)nc(N)nc2,Decitabine,130.0,7.9,8.6,,4.6,1.8,0.85,,1.0,1.0,1.0,,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,"InChI=1S/C8H12N4O4/c9-7-10-3-12(8(15)11-7)6-1-4(14)5(2-13)16-6/h3-6,13-14H,1-2H2,(H2,9,11,15)/t4-,5+,6+/m0/s1",228.085854864
O=C1C=CC=CC1=C2NC(=C3C(=O)C=CC=C3)NN2c4ccc(cc4)C(=O)O,Deferasirox,0.84,6.2,,,0.2,0.46,,,,0.8,,,O=C1C=CC=CC1=C1[NH2+]C(=C2C=CC=CC2=O)[NH+](c2ccc(C(=O)[O-])cc2)[NH2+]1,"InChI=1S/C21H15N3O4/c25-17-7-3-1-5-15(17)19-22-20(16-6-2-4-8-18(16)26)24(23-19)14-11-9-13(10-12-14)21(27)28/h1-12,24H,23H2/p+2",375.12080886418
CNCCCN1c(cccc2)c2CCc(c13)cccc3,Desipramine,11.0,9.8,,,15.0,19.8,,,0.16,,,,C[NH2+]CCCN1c2ccccc2CCc2ccccc21,"InChI=1S/C18H22N2/c1-19-13-6-14-20-17-9-4-2-7-15(17)11-12-16-8-3-5-10-18(16)20/h2-5,7-10,19H,6,11-14H2,1H3/p+1",267.18557515609
c1cc(Cl)cc(c12)C(=NCC(=O)N2)c3ccccc3,Desmethyldiazepam,0.12,59.2,,,0.45,3.03,,,0.03,0.212,,,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,"InChI=1S/C15H11ClN2O/c16-11-6-7-13-12(8-11)15(17-9-14(19)18-13)10-4-2-1-3-5-10/h1-8H,9H2,(H,18,19)",270.05599065200005
C1=CC(=O)C=C([C@]12C)CC[C@@H]3[C@]2(F)[C@@H](O)C[C@@]4(C)[C@H]3C[C@@H](C)[C@]4(O)C(=O)CO,Dexamethasone,3.3,3.2,6.4,,0.94,1.1,1.04,,0.32,0.08,0.2622,,C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,"InChI=1S/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h4,6-7,12,15-17,24,26,28H,5,8-11H2,1-3H3/t12-,15+,16+,17+,19+,20+,21+,22+/m1/s1",392.19990224799994
Clc1ccc(cc1Cl)C(=O)N[C@H](CCC(=O)O)C(=O)N(CCCCC)CCCOC,Dexloxiglumide,3.7,6.01,30.7,,0.18,0.98,0.34,,0.024,0.0093,0.021,,CCCCC[NH+](CCCOC)C(=O)C(CCC(=O)[O-])NC(=O)c1ccc(Cl)c(Cl)c1,"InChI=1S/C21H30Cl2N2O5/c1-3-4-5-11-25(12-6-13-30-2)21(29)18(9-10-19(26)27)24-20(28)15-7-8-16(22)17(23)14-15/h7-8,14,18H,3-6,9-13H2,1-2H3,(H,24,28)(H,26,27)",460.15317741999996
[nH]1cncc1[C@@H](C)c2c(C)c(C)ccc2,Dexmedetomidine,11.0,59.4,,,1.6,3.24,,,0.06,,,,Cc1cccc([C@H](C)c2cnc[n-]2)c1C,"InChI=1S/C13H15N2/c1-9-5-4-6-12(10(9)2)11(3)13-7-14-8-15-13/h4-8,11H,1-3H3/q-1/t11-/m0/s1",199.12407205991
O=C1CN(CC(=O)N1)[C@@H](C)CN2CC(=O)NC(=O)C2,Dexrazoxane,3.1,,11.5,,0.55,,0.72,,1.0,,0.94,,C[C@@H](C[NH+]1CC(=O)NC(=O)C1)[NH+]1CC(=O)NC(=O)C1,"InChI=1S/C11H16N4O4/c1-7(15-5-10(18)13-11(19)6-15)2-14-3-8(16)12-9(17)4-14/h7H,2-6H2,1H3,(H,12,16,17)(H,13,18,19)/p+2/t7-/m0/s1",270.13170789618
c1cc(Cl)cc(c12)C(=NCC(=O)N2C)c3ccccc3,Diazepam,0.38,52.2,30.7,,1.0,11.6,,,0.023,0.1,,,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,"InChI=1S/C16H13ClN2O/c1-19-14-8-7-12(17)9-13(14)16(18-10-15(19)20)11-5-3-2-4-6-11/h2-9H,10H2,1H3",284.07164071600005
Clc1cccc(Cl)c1Nc2c(CC(=O)O)cccc2,Diclofec,3.5,16.8,1.4,8.5,0.22,1.39,0.19,0.32,0.005,0.0056,0.0102,0.0042,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl,"InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)/p-1",294.00940749990997
OC[C@@H]1CC[C@@H](O1)n(cn2)c(c23)[nH]cnc3=O,Didanosine,11.0,150.5,25.3,27.2,0.77,1.3,0.96,1.3,0.95,,1.0,,O=c1nc[n-]c2c1ncn2[C@H]1CC[C@@H](CO)O1,"InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)/p-1/t6-,7+/m0/s1",235.08366379191
Fc(c1)c(F)cc(c12)cc3c(n2)c4n(C3)c(=O)c5c(c4)[C@@](O)(CC)CC(=O)OC5,Diflomotecan,8.42,23.0,21.5,,1.42,2.0,2.1,,0.1257,,,,CC[C@@]1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(F)c(F)cc3nc2-1,"InChI=1S/C21H16F2N2O4/c1-2-21(28)7-18(26)29-9-12-13(21)5-17-19-11(8-25(17)20(12)27)3-10-4-14(22)15(23)6-16(10)24-19/h3-6,28H,2,7-9H2,1H3/t21-/m1/s1",398.107813432
Fc1ccc(c(F)c1)-c2cc(C(=O)O)c(O)cc2,Diflunisal,0.1,1.52,,,0.1,0.15,,,0.0016,0.014,,,O=C([O-])c1cc(-c2ccc(F)cc2F)ccc1[O-],"InChI=1S/C13H8F2O3/c14-8-2-3-9(11(15)6-8)7-1-4-12(16)10(5-7)13(17)18/h1-6,16H,(H,17,18)/p-2",248.02959765182
OCC(O)Cn(cn1)c(c12)c(=O)n(C)c(=O)n2C,Diprophylline,4.8,24.7,,,0.42,1.04,,,,,,,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,"InChI=1S/C10H14N4O4/c1-12-8-7(9(17)13(2)10(12)18)14(5-11-8)3-6(16)4-15/h5-6,15-16H,3-4H2,1-2H3",254.101504928
n1ccccc1C(C(=O)N)(CCN(C(C)C)C(C)C)c2ccccc2,Disopyramide,0.9,34.0,9.87,,0.52,,1.27,,0.16,,,,CC(C)[NH+](CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,"InChI=1S/C21H29N3O/c1-16(2)24(17(3)4)15-13-21(20(22)25,18-10-6-5-7-11-18)19-12-8-9-14-23-19/h5-12,14,16-17H,13,15H2,1-4H3,(H2,22,25)/p+1",340.23833900009004
O=S(=O)(C)Nc1ccc(cc1)CCN(C)CCOc2ccc(cc2)NS(=O)(=O)C,Dofetilide,5.2,66.5,10.2,,3.3,2.28,3.03,,0.36,0.47,0.46,,C[NH+](CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,"InChI=1S/C19H27N3O5S2/c1-22(13-12-16-4-6-17(7-5-16)20-28(2,23)24)14-15-27-19-10-8-18(9-11-19)21-29(3,25)26/h4-11,20-21H,12-15H2,1-3H3/p+1",442.14648941608993
N12C3CC(C(=O)C1)C[C@H]2CC(C3)OC(=O)c(c[nH]4)c(c45)cccc5,Dolasetron,180.0,72.0,27.0,77.0,2.0,26.0,,,,,0.5,0.5,O=C(OC1CC2CC3C[C@@H](C1)[NH+]2CC3=O)c1c[nH]c2ccccc12,"InChI=1S/C19H20N2O3/c22-18-10-21-12-5-11(18)6-13(21)8-14(7-12)24-19(23)16-9-20-17-4-2-1-3-15(16)17/h1-4,9,11-14,20H,5-8,10H2/p+1/t11?,12-,13?,14?/m0/s1",325.15466895209
O[C@H](C)[C@H]1C(=O)N([C@@H]12)C(C([O-])=O)=C([C@@H]2C)S[C@H]3C[C@H]([NH2+]C3)CNS(=O)(=O)N,Doripenem,3.26,35.7,4.7,7.7,0.23,0.27,0.26,0.3,0.92,0.65,0.9,0.94,C[C@@H](O)C1C(=O)[NH+]2C(C(=O)[O-])=C(S[C@@H]3C[NH2+][C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12,"InChI=1S/C15H24N4O6S2/c1-6-11-10(7(2)20)14(21)19(11)12(15(22)23)13(6)26-9-3-8(17-5-9)4-18-27(16,24)25/h6-11,17-18,20H,3-5H2,1-2H3,(H,22,23)(H2,16,24,25)/p+1/t6-,7-,8+,9+,10?,11-/m1/s1",421.12100294009
c1cccc(c12)OC(CO2)C(=O)N3CCN(CC3)c(nc4N)nc(c45)cc(OC)c(c5)OC,Doxazosin,1.6,30.0,13.0,,1.3,3.0,5.0,,0.017,0.03,0.0653,,COc1cc2nc(N3CC[NH+](C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,"InChI=1S/C23H25N5O5/c1-30-18-11-14-15(12-19(18)31-2)25-23(26-21(14)24)28-9-7-27(8-10-28)22(29)20-13-32-16-5-3-4-6-17(16)33-20/h3-6,11-12,20H,7-10,13H2,1-2H3,(H2,24,25,26)/p+1",452.19284535209
O[C@@H]1[C@H](C)O[C@H](C[C@@H]1N)O[C@@H](C[C@@](O)(C2)C(=O)CO)c(c23)c(O)c4c(c3O)C(=O)c5c(C4=O)c(OC)ccc5,Doxorubicin,15.0,32.4,7.926333333,,22.0,5.5,31.55,,0.28,,,,COc1cccc2c1C(=O)c1c([O-])c3c(c([O-])c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H]([NH3+])[C@H](O)[C@H](C)O1,"InChI=1S/C27H29NO11/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3/p-1/t10-,13-,15-,17-,22+,27-/m0/s1",542.1667842959099
C1C[NH2+]CCN1c(c(F)c2)nc(c23)n(CC)cc(c3=O)C([O-])=O,Enoxacin,5.4,42.7,,,2.0,1.8,,,0.8,0.65,,,CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH2+]CC3)nc21,"InChI=1S/C15H17FN4O3/c1-2-19-8-10(15(22)23)12(21)9-7-11(16)14(18-13(9)19)20-5-3-17-4-6-20/h7-8,17H,2-6H2,1H3,(H,22,23)",320.12846862400005
[nH]1cnc(c12)n(CCC)c(=O)[nH]c2=O,Enprofylline,4.0,12.0,2.4,,0.63,0.27,0.64,,0.55,0.19,0.61,,CCCn1c(=O)[n-]c(=O)c2[n-]cnc21,"InChI=1S/C8H10N4O2/c1-2-3-12-6-5(9-4-10-6)7(13)11-8(12)14/h4H,2-3H2,1H3,(H2,9,10,11,13,14)/p-2",192.06582265582
CCN(CC)C(=O)/C(C#N)=C/c1cc([N+]([O-])=O)c(O)c(O)c1,Entacapone,12.0,10.8,,,0.27,0.24,,,0.02,,,,CC[NH+](CC)C(=O)/C(C#N)=C/c1cc([O-])c([O-])c([N+](=O)[O-])c1,"InChI=1S/C14H15N3O5/c1-3-16(4-2)14(20)10(8-15)5-9-6-11(17(21)22)13(19)12(18)7-9/h5-7,18-19H,3-4H2,1-2H3/p-1/b10-5+",304.09389412790995
O[C@H]1[C@H](C)O[C@H](C[C@@H]1N)O[C@@H](C[C@@](O)(C2)C(=O)CO)c(c23)c(O)c4c(c3O)C(=O)c5c(C4=O)c(OC)ccc5,Epirubicin,20.0,25.9,,,45.0,0.17,71.9,,0.25,,0.8078,,COc1cccc2c1C(=O)c1c([O-])c3c(c([O-])c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H]([NH3+])[C@@H](O)[C@H](C)O1,"InChI=1S/C27H29NO11/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3/p-1/t10-,13-,15-,17-,22-,27-/m0/s1",542.1667842959099
CCC#CC[C@H](C)[C@H](O)C#C[C@@H]([C@H](O)C1)[C@H]([C@H]12)CC(\C2)=C\COCCCC(=O)O,Eptaloprost,66.2,170.0,,63.1,2.4,1.5,,1.6,,,,,CCC#CC[C@H](C)[C@H](O)C#C[C@@H]1[C@H]2C/C(=C/COCCCC(=O)[O-])C[C@H]2C[C@H]1O,"InChI=1S/C24H34O5/c1-3-4-5-7-17(2)22(25)10-9-20-21-15-18(14-19(21)16-23(20)26)11-13-29-12-6-8-24(27)28/h11,17,19-23,25-26H,3,6-8,12-16H2,1-2H3,(H,27,28)/p-1/b18-11+/t17-,19-,20+,21-,22+,23+/m0/s1",401.23334773590994
O[C@H](C)[C@H]1C(=O)N([C@@H]12)C(C(=O)O)=C([C@@H]2C)S[C@H]3C[C@H](NC3)C(=O)Nc4cc(C(=O)O)ccc4,Ertapenem,0.45,10.0,,0.47,0.12,0.34,,0.17,0.1,,,,C[C@@H](O)C1C(=O)[NH+]2C(C(=O)[O-])=C(S[C@@H]3C[NH2+]C(C(=O)Nc4cccc(C(=O)[O-])c4)C3)[C@H](C)[C@H]12,"InChI=1S/C22H25N3O7S/c1-9-16-15(10(2)26)20(28)25(16)17(22(31)32)18(9)33-13-7-14(23-8-13)19(27)24-12-5-3-4-11(6-12)21(29)30/h3-6,9-10,13-16,23,26H,7-8H2,1-2H3,(H,24,27)(H,29,30)(H,31,32)/t9-,10-,13+,14?,15?,16-/m1/s1",475.14132114
CC(C)NCC(O)COc1ccc(cc1)CCC(=O)OC,Esmolol,290.0,,1500.0,,1.2,,3.4,,0.59,0.71,0.62,,COC(=O)CCc1ccc(OCC(O)C[NH2+]C(C)C)cc1,"InChI=1S/C16H25NO4/c1-12(2)17-10-14(18)11-21-15-7-4-13(5-8-15)6-9-16(19)20-3/h4-5,7-8,12,14,17-18H,6,9-11H2,1-3H3/p+1",296.18563473209
O[C@H]1CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)c4c(CC3)cc(O)cc4,Estradiol,30.0,69.0,,,1.2,5.9,,,0.016,0.053,,,C[C@]12CC[C@@H]3c4ccc([O-])cc4CC[C@H]3[C@@H]1CC[C@@H]2O,"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/p-1/t14-,15-,16+,17+,18+/m1/s1",271.17035355591
ClCCN(CCCl)C(=O)Oc(cc1)cc(CC2)c1[C@@H](CC3)[C@@H]2[C@@H]([C@]34C)CC[C@@H]4OP(=O)(O)O,Estramustine phosphate,0.94,,2.0,,0.12,,0.16,,,,,,C[C@]12CC[C@@H]3c4ccc(OC(=O)[NH+](CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)([O-])[O-],"InChI=1S/C23H32Cl2NO6P/c1-23-9-8-18-17-5-3-16(31-22(27)26(12-10-24)13-11-25)14-15(17)2-4-19(18)20(23)6-7-21(23)32-33(28,29)30/h3,5,14,18-21H,2,4,6-13H2,1H3,(H2,28,29,30)/p-1/t18-,19-,20+,21+,23+/m1/s1",518.1271532819098
OC[C@H](CC)NCCN[C@@H](CC)CO,Ethambutol,10.0,,13.0,,1.7,,3.8,,0.18,,,,CC[C@@H](CO)[NH2+]CC[NH2+][C@@H](CC)CO,"InChI=1S/C10H24N2O2/c1-3-9(7-13)11-5-6-12-10(4-2)8-14/h9-14H,3-8H2,1-2H3/p+2/t9-,10-/m0/s1",206.19833091217998
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)c4c(CC3)cc(O)cc4,Ethinylestradiol,7.0,55.0,25.0,36.0,4.3,5.7,17.0,7.2,0.014,0.0088,,0.0099,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc([O-])ccc4[C@H]3CC[C@@]21C,"InChI=1S/C20H24O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,5,7,12,16-18,21-22H,4,6,8-11H2,2H3/p-1/t16-,17-,18+,19+,20+/m1/s1",295.17035355591
OS(=O)(=O)O[C@@]1(C#C)CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)c4c(CC3)cc(O)cc4,Ethinylestradiol-17-Sulfate,1.3,,,13.0,0.61,,,8.7,,,,,C#C[C@]1(OS(=O)(=O)[O-])CC[C@H]2[C@@H]3CCc4cc([O-])ccc4[C@H]3CC[C@@]21C,"InChI=1S/C20H24O5S/c1-3-20(25-26(22,23)24)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,5,7,12,16-18,21H,4,6,8-11H2,2H3,(H,22,23,24)/p-2/t16-,17-,18+,19+,20+/m1/s1",374.11989196382
OS(=O)(=O)Oc(cc1)cc(CC2)c1[C@@H](CC3)[C@@H]2[C@@H]([C@]34C)CC[C@@]4(O)C#C,Ethinylestradiol-3-Sulfate,4.7,,,39.0,2.3,,,21.0,0.011,,,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)[O-])ccc4[C@H]3CC[C@@]21C,"InChI=1S/C20H24O5S/c1-3-20(21)11-9-18-17-6-4-13-12-14(25-26(22,23)24)5-7-15(13)16(17)8-10-19(18,20)2/h1,5,7,12,16-18,21H,4,6,8-11H2,2H3,(H,22,23,24)/p-1/t16-,17-,18+,19+,20+/m1/s1",375.12716841591003
CCOC(=O)c1cncn1C(C)c2ccccc2,Etomidate,13.0,93.0,17.0,,2.7,4.03,1.9,,0.23,0.191,0.2152,,CCOC(=O)c1cncn1C(C)c1ccccc1,"InChI=1S/C14H16N2O2/c1-3-18-14(17)13-9-15-10-16(13)11(2)12-7-5-4-6-8-12/h4-11H,3H2,1-2H3",244.121177752
C1O[C@@H](C)O[C@H]([C@@H]12)[C@H](O)[C@@H](O)[C@@H](O2)O[C@H]3[C@@H](COC4=O)[C@H]4[C@@H](c(c35)cc6c(c5)OCO6)c7cc(OC)c(O)c(c7)OC,Etoposide,0.5,23.0,13.0,1.5,0.18,0.58,1.4,0.16,0.12,0.43,0.63,0.0051,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)C23)OCO4)cc(OC)c1[O-],"InChI=1S/C29H32O13/c1-11-36-9-20-27(40-11)24(31)25(32)29(41-20)42-26-14-7-17-16(38-10-39-17)6-13(14)21(22-15(26)8-37-28(22)33)12-4-18(34-2)23(30)19(5-12)35-3/h4-7,11,15,20-22,24-27,29-32H,8-10H2,1-3H3/p-1/t11-,15+,20-,21-,22?,24-,25-,26-,27-,29+/m1/s1",587.1770146319097
O=S(=O)(N)N=C(N)CCSCc1nc(sc1)N=C(N)N,Famotidine,6.6,22.0,8.6,15.0,1.2,0.8,0.79,2.1,0.84,0.47,0.72,0.13,NC(N)=[NH+]c1nc(CSCCC(N)=[NH+]S(N)(=O)=O)cs1,"InChI=1S/C8H15N7O2S3/c9-6(15-20(12,16)17)1-2-18-3-5-4-19-8(13-5)14-7(10)11/h4H,1-3H2,(H2,9,15)(H2,12,16,17)(H4,10,11,13,14)/p+2",339.05948862417995
Clc1cccc(c1Cl)C2C(C(=O)OCC)=C(C)NC(C)=C2C(=O)OC,Felodipine,11.0,61.0,33.0,,4.4,15.0,5.4,,0.0036,0.005,0.005,,CCOC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,"InChI=1S/C18H19Cl2NO4/c1-5-25-18(23)14-10(3)21-9(2)13(17(22)24-4)15(14)11-7-6-8-12(19)16(11)20/h6-8,15,21H,5H2,1-4H3/p+1",384.07638990009
Oc1cc(cc(c1)O)C(O)CNC(C)Cc2ccc(O)cc2,Fenoterol,29.0,64.0,,,1.2,1.1,,,0.53,0.95,,,CC(Cc1ccc([O-])cc1)[NH2+]CC(O)c1cc([O-])cc([O-])c1,"InChI=1S/C17H21NO4/c1-11(6-12-2-4-14(19)5-3-12)18-10-17(22)13-7-15(20)9-16(21)8-13/h2-5,7-9,11,17-22H,6,10H2,1H3/p-2",301.13250524782
CSc1ccc(cc1)C(=O)c2[nH]c(=O)[nH]c2C,Fenoximone,29.0,,26.0,,1.8,,2.1,,0.3,,,,CSc1ccc(C(=O)c2[n-]c(=O)[n-]c2C)cc1,"InChI=1S/C12H12N2O2S/c1-7-10(14-12(16)13-7)11(15)8-3-5-9(17-2)6-4-8/h3-6H,1-2H3,(H2,13,14,15,16)/p-2",246.04739571982
c1ccccc1N(C(=O)CC)C2CCN(CC2)CCc3ccccc3,Fentanyl,4.7,58.0,54.0,,0.89,3.8,4.7,,0.16,0.17,0.16,,CCC(=O)[NH+](c1ccccc1)C1CC[NH+](CCc2ccccc2)CC1,"InChI=1S/C22H28N2O/c1-2-22(25)24(20-11-7-4-8-12-20)21-14-17-23(18-15-21)16-13-19-9-5-3-6-10-19/h3-12,21H,2,13-18H2,1H3/p+2",338.23471642017995
CC(C)(C)NC(=O)[C@H]1CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@]4(C)[C@@H](CC3)NC(=O)C=C4,Fisteride,2.4,,2.1,,1.1,,0.36,,0.095,,0.18,,CC(C)(C)NC(=O)C1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,"InChI=1S/C23H36N2O2/c1-21(2,3)25-20(27)17-8-7-15-14-6-9-18-23(5,13-11-19(26)24-18)16(14)10-12-22(15,17)4/h11,13-18H,6-10,12H2,1-5H3,(H,24,26)(H,25,27)/t14-,15-,16-,17?,18+,22-,23+/m0/s1",372.277678392
FC(F)(F)COc1cc(c(cc1)OCC(F)(F)F)C(=O)NCC2NCCCC2,Flecainide,4.9,34.0,24.0,,6.1,6.9,1.1,,0.52,0.41,0.3,,O=C(NCC1CCCC[NH2+]1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,"InChI=1S/C17H20F6N2O3/c18-16(19,20)9-27-12-4-5-14(28-10-17(21,22)23)13(7-12)15(26)25-8-11-3-1-2-6-24-11/h4-5,7,11,24H,1-3,6,8-10H2,(H,25,26)/p+1",415.14508827209
CN1CCN(CC1)c(c(F)c2)c(F)c(c23)n(CCF)cc(c3=O)C(=O)O,Fleroxacin,2.4,5.8,1.6,4.0,1.6,1.3,1.3,1.2,0.73,0.49,0.51,0.6072,C[NH+]1CCN(c2c(F)cc3c(=O)c(C(=O)[O-])cn(CCF)c3c2F)CC1,"InChI=1S/C17H18F3N3O3/c1-21-4-6-22(7-5-21)15-12(19)8-10-14(13(15)20)23(3-2-18)9-11(16(10)24)17(25)26/h8-9H,2-7H2,1H3,(H,25,26)",369.130026096
c1ncnn1CC(O)(c(c(F)c2)ccc2F)Cn3ncnc3,Flucozole,0.31,4.2,0.65,,0.75,0.97,0.7,,0.89,0.9,0.89,,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,"InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2",306.10406544399996
