smiles_r,human_VDss_L_kg,human_CL_mL_min_kg,human_fup,human_mrt,human_thalf,MW,HBA,HBD,TPSA_NO,RotBondCount,MoKa.LogP,MoKa.LogD7.4,molecular_weight_smiles_r
CC1=[NH+]C(=O)[C@](CC[NH+](C(C)C)C(C)C)(c2ccccc2)[C@H]2CCCCN12,0.58,6.79,0.7,1.58,1.89,369.54,4.0,0.0,35.9,6.0,4.0,2.6,371.29256564418
CC1=[NH+]S(=O)(=O)c2cc(Cl)ccc2N1,0.21,0.06,0.06,58.0,48.0,230.67,4.0,1.0,58.5,0.0,1.2,1.2,230.99895259609
CC1C(=O)NC(Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2O[C@H](C)C[NH2+]C(C2CC2)C(=O)[NH+]1C,0.1,0.1,0.01,15.2,11.8,538.65,8.0,3.0,99.8,3.0,4.3,3.7,540.31008685218
CC1C(=O)O[C@H]2C[C@@]34[C@H]5C[C@@H](C(C)(C)C)C36C(O)C(=O)O[C@H]6OC4(C(=O)O5)[C@@]12O,0.62,2.3,,4.6,3.8,408.4,9.0,2.0,128.6,0.0,-3.3,-3.4,408.1420323479999
CC1C(=O)O[C@H]2[C@H](O)C34[C@H]5C[C@@H](C(C)(C)C)C36C(O)C(=O)O[C@H]6OC4(C(=O)O5)[C@@]12O,0.91,2.3,0.8,6.6,5.2,424.4,10.0,3.0,148.8,0.0,-4.3,-4.5,424.13694696799985
CC1CC(=O)[N-]N=C1c1ccc(NN=C(C#N)C#N)cc1,0.24,3.8,0.02,1.1,1.1,280.28,7.0,2.0,113.4,5.0,2.2,0.87,279.09998255191005
CC1CC[NH+](CCCC(=O)c2ccc(F)cc2)CC1,14.0,46.0,,5.0,3.9,263.35,2.0,0.0,20.3,5.0,3.7,1.7,264.17581899609
CC1CNc2c(cccc2S(=O)(=O)NC(CCCNC(N)=[NH2+])C(=O)[NH+]2CC[C@@H](C)CC2C(=O)[O-])C1,0.17,5.0,0.46,0.57,0.4,508.63,11.0,6.0,177.7,10.0,1.5,-0.84,509.25406570409
CC1COc2c(N3CC[NH+](C)CC3)c(F)cc3c(=O)c(C(=O)[O-])cn1c23,1.6,2.5,0.75,11.0,8.9,361.37,7.0,1.0,73.3,2.0,1.9,-0.4,361.14378433999997
CC=CC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)C([NH3+])c3ccc([O-])cc3)[C@H]2SC1,0.21,2.9,0.59,1.2,1.2,389.43,8.0,4.0,133.0,5.0,-0.39,-1.8,389.104541708
CCC#CC[C@H](C)[C@H](O)C#C[C@@H]1[C@H]2C/C(=C/COCC(=O)[O-])C[C@H]2C[C@H]1O,0.08,3.8,,0.35,1.1,374.47,5.0,3.0,87.0,10.0,2.6,-0.63,373.20204760790995
CCC#CC[C@H](C)[C@H](O)C#C[C@H]1[C@H]2CC(=CCOCCCC(=O)[O-])C[C@H]2C[C@H]1O,2.4,66.2,,0.59,0.41,402.52,5.0,3.0,87.0,15.0,3.0,0.22,401.23334773590994
CCC(=O)C(CC(C)[NH+](C)C)(c1ccccc1)c1ccccc1,4.4,1.7,0.21,43.0,31.0,309.45,2.0,0.0,20.3,7.0,3.7,2.5,310.21654093609
CCC(=O)C1(c2cccc([O-])c2)CC[NH+](C)CC1,0.48,9.2,,0.87,2.3,247.33,3.0,1.0,40.5,3.0,1.5,0.0027,247.157228912
CCC(=O)N(c1ccccc1)C1(C(=O)OC)CC[NH+](CCC(=O)OC)CC1,0.4,37.0,0.3,0.18,0.8,376.45,7.0,0.0,76.1,9.0,2.3,2.1,377.20709844808994
CCC(=O)N(c1ccccc1)C1(COC)CC[NH+](CCc2cccs2)CC1,9.4,15.0,0.075,10.0,14.0,386.55,4.0,0.0,32.8,8.0,3.9,2.9,387.21007565209
CCC(=O)N(c1ccccc1)C1(COC)CC[NH+](CCn2nnn(CC)c2=O)CC1,0.45,3.9,0.086,1.9,1.6,416.52,9.0,0.0,81.1,9.0,2.8,2.7,417.2608653360901
CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,1.05,13.1,0.2,1.3,1.9,259.34,3.0,1.0,38.3,4.0,2.7,2.7,259.157228912
CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2,0.33,9.04,,0.62,0.75,245.32,3.0,1.0,38.3,4.0,2.1,2.1,245.141578848
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,0.29,36.0,0.13,0.1,0.5,521.04,7.0,1.0,107.0,8.0,4.0,4.0,520.222781204
CCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,0.3,2.33,,2.15,1.28,217.26,5.0,0.0,66.4,7.0,-3.7,-3.1,217.131408088
CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)C[NH+](C)C,12.0,15.0,0.24,13.0,18.0,339.47,3.0,0.0,29.5,9.0,4.1,3.3,340.22710562009
CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,3.6,17.0,0.1,3.9,6.0,500.57,5.0,1.0,80.7,6.0,3.3,3.3,500.18442975199997
CCC(=O)[NH+](c1ccccc1)C1CC[NH+](CCc2ccccc2)CC1,0.89,4.7,0.16,3.2,3.0,336.47,3.0,0.0,23.5,6.0,4.1,2.8,338.23471642017995
CCC(C(N)=O)[NH+]1CCCC1=O,0.6,0.9,0.9,11.15,8.23,170.21,4.0,1.0,63.4,3.0,-0.48,-0.48,171.11280414009
CCC(C)(C)[NH2+]CC(O)COc1ccccc1C(=O)CCc1ccccc1,1.2,11.0,0.017,1.9,1.5,369.5,4.0,2.0,58.6,11.0,4.0,2.0,370.23767030409
CCC(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21,0.87,7.2,0.043,1.3,1.4,422.55,6.0,3.0,104.1,11.0,4.2,1.4,421.2595624839099
CCC(C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21,0.46,14.0,0.5,0.59,0.78,424.53,7.0,4.0,124.3,11.0,2.3,-0.54,423.2388270399099
CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C([NH2+]CC[NH3+])NC(=O)C2C(O)CC[NH+]2C(=O)C(C(O)CC[NH3+])NC(=O)C(C(O)C(O)c2ccc([O-])cc2)NC(=O)C2CC(O)C[NH+]2C(=O)C(C(C)O)NC1=O,0.13,0.14,0.035,15.0,27.0,1093.31,25.0,16.0,412.0,23.0,-1.4,-6.3,1096.67216792436
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,7.4,5.1,0.002,24.0,25.0,705.63,12.0,0.0,100.8,11.0,5.8,5.8,704.2393070560003
CCC(CC)COC(C(=O)OCC[NH+](C)C)(c1ccccc1)c1ccccc1,7.1,5.7,,21.0,34.0,383.52,4.0,0.0,38.8,12.0,5.3,4.3,384.25332036809
CCC(CC)O[C@@H]1C=C(C(=O)[O-])C[C@H]([NH3+])[C@H]1NC(C)=O,0.37,4.8,0.97,1.3,1.8,284.35,6.0,3.0,101.6,6.0,0.57,-1.7,284.173607248
CCC/[NH+]=C1\S/C(=C\c2ccc(OC[C@H](O)CO)c(Cl)c2)C(=O)N1c1ccccc1C,2.28,0.9,,42.6,32.9,460.97,6.0,2.0,82.4,8.0,4.4,4.0,461.12963241209
CCC1(c2cccc([O-])c2)CCCC[NH+](C)C1,3.3,28.0,0.73,2.0,1.7,233.35,2.0,1.0,23.5,2.0,3.1,1.5,233.177964356
CCC1(c2ccccc2)C(=O)[N-]C(=O)[N-]C1=O,0.54,0.063,0.49,140.0,99.0,232.24,5.0,2.0,75.3,2.0,1.3,1.1,230.07023933982
CCC1(c2cnc[n-]2)Cc2ccccc2C1,2.7,19.6,,2.3,1.7,212.29,2.0,1.0,28.7,2.0,2.6,2.4,211.12407205991
CCC1=C(C)C[NH+](C(=O)NCCc2ccc(S(=O)(=O)[N-]C(=O)[NH2+][C@H]3CC[C@H](C)CC3)cc2)C1=O,0.19,0.5,0.005,6.3,10.0,490.62,9.0,3.0,124.7,7.0,4.2,2.1,491.23226764009
CCC1=C[C@@H]2C[NH+](C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)[NH+](C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CC[NH+]5CC[C@]31[C@@H]54)C2,23.0,20.0,0.87,18.0,26.0,778.93,12.0,2.0,133.9,10.0,4.1,3.9,781.41599404427
CCC1=C[C@@H]2C[NH+](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)[NH+](C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CC[NH+]6CC[C@]43[C@@H]65)C2)C1,12.0,12.0,,17.0,18.0,792.96,12.0,2.0,133.9,10.0,4.8,4.5,795.4316441082699
CCC1=NC(=O)C2CSSCC/C=C/[C@H](CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O,1.2,7.4,0.07,2.6,11.0,540.7,10.0,4.0,142.7,2.0,-0.14,-0.14,540.207626872
CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CC[NH+](C)CC4)cc3OC)nc2[NH+]1C1CCCC1,31.2,17.1,,31.3,40.1,521.65,10.0,2.0,102.9,7.0,4.3,2.8,523.32599101218
CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)N[C@H]4CC[C@H]([NH+]5CC[NH+](CC6CC6)CC5)CC4)cc3OC)nc2[NH+]1C(C)C,80.5,11.6,,116.0,113.0,618.81,11.0,2.0,106.2,10.0,5.1,4.2,621.4224168162701
CCC1NC(=O)C(NC(=O)c2ncccc2[O-])[C@@H](C)OC(=O)C(c2ccccc2)NC(=O)C2CC(=O)C(CS[C@@H]3C[NH+]4CCC3CC4)C[NH+]2C(=O)C(Cc2ccc(N(C)C)cc2)[NH+](C)C(=O)C2CCC[NH+]2C1=O,0.67,16.0,0.34,0.7,0.87,1022.22,19.0,4.0,231.2,10.0,3.0,0.59,1024.49498970027
CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1,1.7,10.0,0.74,2.8,3.5,336.43,6.0,3.0,87.7,10.0,1.6,-0.23,337.21218382808996
CCCC(=O)OCOC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,0.58,142.0,0.0038,0.07,0.3,456.32,7.0,1.0,90.9,10.0,4.4,4.4,456.09751926808997
CCCC(=O)[NH+]1CCCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,0.72,4.8,0.06,2.5,2.0,373.45,8.0,1.0,93.8,5.0,2.7,2.6,374.21866617609
CCCC(C)(COC(N)=O)COC(N)=O,0.7,0.6,1.0,19.0,14.0,218.25,6.0,2.0,104.6,8.0,0.91,0.91,218.126657056
CCCC(C)C1(CC)C(=O)[N-]C(=O)[N-]C1=O,0.91,0.47,0.39,32.0,22.0,226.27,5.0,2.0,75.3,4.0,2.0,1.9,224.11718953182
CCCC(C)C1(CC)C(=O)[N-]C(=S)[N-]C1=O,1.2,8.2,0.14,2.4,2.0,242.34,4.0,2.0,58.2,4.0,2.8,2.5,240.09434591182
CCCC(CCC)C(=O)[O-],0.14,0.16,0.08,15.0,12.0,144.21,2.0,1.0,37.3,5.0,2.6,0.25,143.10775329991
CCCC([NH2+]C(C)C(=O)[NH+]1C(C(=O)[O-])C[C@@H]2CCCC[C@@H]21)C(=O)[O-],0.76,1.7,0.16,7.6,29.0,340.41,7.0,3.0,106.9,7.0,0.92,-3.2,340.1998219959999
CCCC1O[C@@H]2C[C@H]3[C@@H]4CC=C5CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,3.9,20.0,0.13,3.2,2.8,430.53,6.0,2.0,93.1,4.0,3.0,3.0,430.2355388079999
CCCC=c1ncc(=CC(Cc2cccs2)C(=O)[O-])n1Cc1ccc(C(=O)[O-])cc1,0.17,1.9,0.017,1.5,2.1,424.51,6.0,2.0,92.4,10.0,4.4,-1.1,422.13112534382
CCCCC(=O)[NH+](Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1)C(C(=O)[O-])C(C)C,0.22,0.49,0.04,7.5,9.5,435.52,8.0,2.0,112.1,10.0,5.0,-0.22,434.21976333591
CCCCC(C)(C)[C@@H](O)/C=C\[C@@H]1[C@H](C/C=C/CCCC(=O)[O-])[C@@H](Cl)C[C@@H]1O,0.16,13.2,,0.2,0.8,400.98,4.0,3.0,77.8,12.0,5.1,2.6,399.23076089190994
CCCCC1=[NH+]C2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,0.94,2.3,0.1,6.8,14.0,428.53,7.0,1.0,87.1,7.0,4.6,1.1,428.2324595160001
CCCCCCC(C)(C)c1cc([O-])c2c(c1)OC(C)(C)[C@H]1CC=C(CO)C[C@H]21,5.06,21.38,,3.94,7.33,386.57,3.0,2.0,49.7,7.0,7.6,7.5,385.27481862391
CCCCCCCC(=O)N[C@H](C[NH+]1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2,,20.95,0.21,,7.7,404.54,6.0,2.0,71.0,11.0,3.2,2.4,405.27478408408996
CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@@H](O)[C@@H]1O,0.14,4.53,,0.51,0.36,507.66,9.0,3.0,134.7,19.0,5.0,5.0,507.33083616
CCCCCCCCCC=CCCC(=O)N=CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H]([NH2+]c2[n-]cnc3ncnc2-3)O[C@H]1[C@@H](O)CO,0.17,2.7,,1.1,1.3,589.68,14.0,8.0,214.8,17.0,1.3,1.2,589.3223967160001
CCCCCCCCCCCCCCC[C@@H](O)[C@H](C)[NH3+],30.7,57.6,,8.89,29.7,285.51,2.0,2.0,46.3,15.0,6.6,4.3,286.31044132009
CCCCCCCCOCCOC(=O)CN(CC(=O)[O-])c1ccccc1OCCOc1ccccc1N(CC(=O)[O-])CC(=O)OCCOCCCCCCCC,1.1,14.0,,1.3,3.5,788.96,14.0,2.0,170.6,37.0,8.9,4.4,786.4313725838201
CCCCCCCCc1ccc(CCC([NH3+])(CO)CO)cc1,17.3,1.53,0.002,189.0,144.0,307.47,3.0,3.0,66.5,12.0,3.7,2.6,308.25840574808996
CCCCCCC[NH+](CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,12.0,26.0,0.6,7.7,7.0,384.58,5.0,2.0,69.6,14.0,4.4,2.4,385.25194046408996
CCCCCC[NH+]1CCC(C(=O)[NH+](C)CC)(c2ccccc2)CC1,,24.0,,,3.6,330.51,3.0,0.0,23.5,8.0,4.1,2.5,332.28166661217995
CCCCCNC(=O)c1coc([C@H]2[C@@H](Cc3ccccc3CCC(=O)[O-])[C@@H]3CC[C@H]2O3)n1,4.4,6.4,,11.0,22.0,440.53,7.0,2.0,102.0,11.0,4.0,1.2,439.22384567191
CCCCCNC(=[NH2+])NN=Cc1c[nH]c2ccc(OC)cc12,5.3,18.0,0.02,4.9,11.0,301.39,6.0,4.0,85.3,9.0,4.3,0.86,302.19753680809
CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)NC4C[C@@H](O)[C@@H](O)NC(=O)C5[C@@H](O)[C@@H](C)C[NH+]5C(=O)C([C@@H](C)O)NC(=O)C([C@H](O)[C@@H](O)c5ccc([O-])cc5)NC(=O)C5C[C@@H](O)C[NH+]5C(=O)C([C@@H](C)O)NC4=O)cc3)cc2)cc1,0.57,0.21,0.16,45.0,40.0,1140.24,24.0,14.0,377.4,14.0,1.6,1.6,1140.51357032809
CCCCC[C@@H](O)CC[C@H]1[C@@H]2Cc3cccc(OCC(=O)[O-])c3C[C@@H]2C[C@@H]1O,0.23,10.7,0.09,0.36,0.82,390.51,5.0,3.0,87.0,13.0,4.6,1.4,389.23334773590994
CCCCC[C@H](O)/C=C/[C@@H]1C(CCCCCCC(=O)[O-])C(=O)C[C@H]1O,2.4,45.4,,0.9,1.9,354.48,5.0,3.0,94.8,13.0,3.5,0.93,353.23334773591
CCCCC[NH+](C)CCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],0.55,1.8,0.15,5.1,14.0,319.23,8.0,5.0,138.5,9.0,-0.58,-5.9,316.07314597972993
CCCCC[NH+](CCCOC)C(=O)C(CCC(=O)[O-])NC(=O)c1ccc(Cl)c(Cl)c1,0.21,2.35,0.024,2.395,3.2,461.38,7.0,2.0,95.9,14.0,4.2,1.0,460.15317741999996
CCCCCc1cc([O-])c2c(c1)OC(C)(C)[C@@H]1CCC(C(=O)[O-])=C[C@@H]21,1.28,1.2,,18.1,17.6,344.44,4.0,2.0,66.8,5.0,5.9,3.5,342.18420647181995
CCCCCc1cc([O-])c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,8.9,3.2,0.05,46.0,33.0,314.46,2.0,1.0,29.5,4.0,7.0,7.0,313.21730374791
CCCCCc1cc([O-])c2c(c1)OC(C)(C)c1ccc(C)cc1-2,16.98,17.85,,15.86,25.51,310.43,2.0,1.0,29.5,4.0,6.7,6.7,309.18600361991
CCCCNC(=[NH2+])NC(N)=[NH2+],1.84,6.58,0.9,4.66,4.62,157.22,5.0,5.0,97.8,6.0,-0.61,-4.1,159.14729838417998
CCCCNc1cc(C(=O)[O-])cc(S(N)(=O)=O)c1Oc1ccccc1,0.16,2.5,0.031,1.1,1.2,364.42,7.0,3.0,118.7,8.0,3.4,0.56,363.10201628791003
CCCCS(=O)(=O)NC(Cc1ccc(OCCCCC2CC[NH2+]CC2)cc1)C(=O)[O-],0.34,3.0,0.36,1.8,1.6,440.6,7.0,3.0,104.7,14.0,4.4,1.6,440.23449325199994
CCCC[C@@H]1CC(=O)[C@]2(O)O[C@@H]3[C@@H]([NH2+]C)[C@@H](O)[C@@H]([NH2+]C)[C@H](O)[C@H]3O[C@@H]2O1,0.7,1.7,0.65,6.9,11.0,374.43,9.0,5.0,129.5,5.0,-1.4,-3.8,376.2198542041799
CCCC[NH+]1CCCC1C(=O)Nc1c(C)cc(C)cc1C,1.73,19.19,,1.51,1.58,288.43,3.0,1.0,32.3,5.0,4.0,3.3,289.22743996809004
CCCC[NH+]1CCCCC1C(=O)Nc1c(C)cccc1C,0.665,6.5,0.043,2.12,1.945,288.43,3.0,1.0,32.3,5.0,4.0,3.4,289.22743996809004
CCCC[NH2+]C(=O)[N-]S(=O)(=O)c1ccc(C)cc1,0.12,0.21,0.05,9.5,7.0,270.35,5.0,2.0,75.3,5.0,2.3,0.17,270.103813436
CCCC[P@@](=O)([O-])CCC[NH3+],,1.56,,,2.1,179.2,3.0,2.0,63.3,6.0,0.68,-1.6,179.107515446
CCCC[S@](=N)(=O)CCC([NH3+])C(=O)[O-],0.26,2.28,,1.9,1.68,222.31,5.0,3.0,104.2,7.0,-0.19,-2.5,222.103813436
CCCCc1nc(C)c(CC(=S)[NH+](C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,0.6,9.6,,1.1,5.5,501.65,8.0,1.0,92.6,10.0,4.1,0.71,501.23107961200014
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,0.37,8.2,0.01,0.75,1.8,422.91,7.0,2.0,92.5,8.0,4.2,0.7,421.1549105839101
CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCC[NH+](CCCC)CCCC)cc1,20.0,33.33,0.02,10.0,16.0,556.76,7.0,1.0,89.1,18.0,7.3,4.7,557.30436996009
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCC[NH+](CC)CC)c(I)c1,60.0,1.9,0.0002,620.0,820.0,645.31,4.0,0.0,43.0,11.0,7.5,6.2,646.03096624009
CCCNc1nc(NCCC)nc(N(C)OC)n1,2.17,11.9,,3.04,5.61,254.33,7.0,2.0,75.2,8.0,2.3,2.3,254.18550932399998
CCCOC(C(=O)OC1CC[NH+](C)CC1)(c1ccccc1)c1ccccc1,2.73,2.94,0.1,15.4,15.2,367.48,4.0,0.0,38.8,8.0,4.7,3.1,368.22202024009
CCC[C@@H]1CC(=O)[NH+](C(CC)C(N)=O)C1,0.56,0.75,0.825,12.47,8.98,212.29,4.0,1.0,63.4,5.0,0.82,0.82,213.15975433209
CCC[C@@H]1CC(C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)[NH+](C)C1,1.0,2.1,,7.5,5.6,406.54,8.0,5.0,122.5,7.0,0.001,-0.75,407.22103426009
CCC[C@@H]1CC(C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)[NH+](C)C1,0.79,4.5,0.06,2.9,2.1,424.98,7.0,4.0,102.3,7.0,1.3,0.96,425.18714728809
CCC[C@H]([NH2+]c1nc(-c2ccc(NC(=O)NCC)c(OC)c2)ncc1C)c1cccnc1,3.41,22.2,,2.5,2.9,434.53,8.0,3.0,101.1,9.0,4.3,4.3,435.25030065209006
CCC[NH+](CCC)CCc1cccc2[nH]c(O)cc12,7.7,30.0,0.6,4.3,6.0,260.37,3.0,1.0,32.3,7.0,2.9,1.1,261.19613984009
CCC[NH+](CCC)S(=O)(=O)c1ccc(C(=O)[O-])cc1,0.13,0.25,0.13,8.7,5.9,285.36,5.0,1.0,74.7,7.0,3.3,-0.017,285.10347908800003
CCC[NH+](CCc1cccs1)[C@H]1CCc2c([O-])cccc2C1,5.7,37.0,0.08,2.6,4.0,315.47,2.0,1.0,23.5,6.0,5.0,3.4,315.16568542000005
CCC[NH+]1CCCCC1C(=O)Nc1c(C)cccc1C,0.75,5.5,0.06,2.3,2.2,274.4,3.0,1.0,32.3,4.0,3.5,2.9,275.21178990409
CCC[NH2+]C(=O)[N-]S(=O)(=O)c1ccc(Cl)cc1,0.19,0.045,0.03,70.0,46.0,276.74,5.0,2.0,75.3,4.0,2.1,-0.29,276.033540956
CCC[NH2+]C(C)C(=O)Nc1c(C)csc1C(=O)OC,7.7,126.7,0.46,1.04,0.98,284.37,5.0,2.0,67.4,7.0,1.9,1.2,285.12673995209
CCC[NH2+]C(C)C(=O)Nc1ccccc1C,3.7,29.0,0.72,2.2,1.8,220.31,3.0,2.0,41.1,5.0,2.0,1.2,221.16483971209
CCC[NH2+]CC(O)COc1ccccc1C(=O)CCc1ccccc1,2.2,16.0,0.038,2.2,2.1,341.44,4.0,2.0,58.6,11.0,3.3,1.5,342.20637017609
CCC[NH2+][C@H]1CCc2nc(N)sc2C1,7.0,7.2,0.85,16.1,12.4,211.33,3.0,2.0,50.9,3.0,1.6,-0.51,212.12159499608998
CCC[S@+](O)CCC[NH+](CC)C[C@@H](O)COc1ccc(C#N)cc1,1.8,11.3,,2.65,2.4,352.49,5.0,1.0,73.6,13.0,2.0,1.4,354.19661666018
CCCc1c(O)n2c(N(C)C)[nH+]c3ccc(C)cc3[n+]2c1O,0.12,0.14,0.004,14.0,17.0,300.36,6.0,0.0,56.2,3.0,1.3,0.098,302.17317878418
CCCc1c(OCCCS(=O)(=O)c2ccc(C(=O)CCC(=O)[O-])cc2)ccc(C(C)=O)c1[O-],,17.44,,,0.04,476.54,8.0,2.0,135.0,13.0,2.7,0.13,474.13593595181993
CCCc1c2oc(C(=O)[O-])cc(=O)c2cc2c(=O)cc(C(=O)[O-])n(CC)c12,0.43,10.2,0.11,0.7,0.9,371.34,8.0,2.0,127.1,5.0,2.8,-3.1,369.08594897982
CCCc1cc(=O)[n-]c(=S)[n-]1,0.34,3.1,0.18,1.8,1.3,170.23,3.0,2.0,41.1,2.0,1.2,1.2,168.03683103582
CCCc1nc(C(C)(C)O)c(C(=O)[O-])n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,,0.29,,,10.8,446.5,9.0,3.0,129.8,7.0,4.5,-0.93,444.1920857878201
CCCc1nc(C)c2c(=O)[n-]c(-c3cc(S(=O)(=O)[NH+]4CC[NH+](CC)CC4)ccc3OCC)nn12,3.0,13.0,0.05,3.8,4.5,488.6,10.0,1.0,109.1,8.0,1.2,0.56,489.2278509560901
CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)[O-])cc1,5.3,8.4,0.004,11.0,20.0,514.62,6.0,1.0,72.9,7.0,7.7,4.7,513.22959974791
CCCc1nn(C)c2c(=O)[n-]c(-c3cc(S(=O)(=O)[NH+]4CC[NH+](C)CC4)ccc3OCC)nc12,1.36,9.0,0.04,2.5,2.2,474.58,10.0,1.0,113.4,7.0,1.6,1.1,475.21220089209004
CCCn1c(=O)[n-]c(=O)c2nc[n-]c21,0.63,4.0,0.55,2.6,1.8,194.19,6.0,2.0,78.1,2.0,-0.075,-1.4,192.06582265582
CCCn1c(=O)c2[n-]c(C34CC5CC(CC3C5)C4)nc2n(CCC)c1=O,4.3,5.0,,14.1,18.1,356.46,6.0,1.0,72.7,5.0,3.2,3.2,355.21394968391
CCCn1c(=O)c2[n-]c(C34CCC(CCC(=O)[O-])(CC3)CC4)nc2n(CCC)c1=O,0.76,1.08,0.1,11.7,16.0,416.51,8.0,2.0,110.0,8.0,3.2,0.73,414.22780259982005
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,1.3,16.0,0.4,1.4,1.1,305.33,6.0,0.0,74.3,4.0,1.8,1.8,305.12766010000007
CCN(CC)c1ccc2cc(C(=O)Nc3ccc4[nH]c(C(=O)N5C[C@@H](CCl)c6c5cc(OC(=O)Nc5ccccc5)c5[nH]cc(C)c65)cc4c3)oc2c1,0.09,2.9,,0.51,0.48,729.22,11.0,4.0,136.0,10.0,7.7,7.7,728.251395964
CCNC(=O)C1C[C@@H](n2ccc3c([NH2+][C@H](CC)Cc4sccc4Cl)ncnc32)[C@H](O)[C@@H]1O,0.84,12.0,0.03,1.18,1.33,478.01,8.0,4.0,112.3,8.0,2.6,2.6,478.16741488809004
CCNC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C\[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,0.67,25.0,0.12,,0.45,415.57,5.0,4.0,89.8,12.0,3.3,3.3,415.272258664
CCNC(=O)OC1CCN(c2nncc3cc(OC)c(OC)cc23)CC1,0.67,37.6,0.08,0.25,0.25,360.41,8.0,1.0,85.8,6.0,2.3,2.3,360.17975524799994
CCOC(=O)C(CCc1ccccc1)[NH2+]C(C)C(=O)[NH+]1C(C(=O)[O-])C[C@H]2CCCC[C@H]21,0.25,12.5,0.17,0.34,0.26,430.54,7.0,2.0,95.9,10.0,3.2,-0.16,431.25404864009
CCOC(=O)C(CCc1ccccc1)[NH2+]C(C)C(=O)[NH+]1CC2(CC1C(=O)[O-])SCCS2,0.43,11.9,,0.61,8.6,466.61,7.0,2.0,95.9,10.0,2.7,-0.81,467.16689051209
CCOC(=O)C(CCc1ccccc1)[NH2+]C(C)C(=O)[NH+]1Cc2cc(OC)c(OC)cc2CC1C(=O)[O-],,6.3,0.12,,1.3,498.57,9.0,2.0,114.4,12.0,3.0,-0.37,499.24387788008994
